8999477	shoes	0
4809091	shoes	1
4382146	digital	1
464340	Unknown	Unknown
8052376	Unknown	Unknown
1364703	shoes	1
1814740	Unknown	Unknown
5551040	Unknown	Unknown
7663806	Unknown	Unknown
6897349	Unknown	Unknown
2292269	Unknown	Unknown
6158139	Unknown	Unknown
7678265	Unknown	Unknown
8224639	Unknown	Unknown
101278	Unknown	Unknown
9182926	Unknown	Unknown
6922575	Unknown	Unknown
4273813	Unknown	Unknown
7055258	Unknown	Unknown
9253592	Unknown	Unknown
1784006	Unknown	Unknown
5164549	Unknown	Unknown
7486977	Unknown	Unknown
5639354	Unknown	Unknown
6467875	skin	0
278473	Unknown	Unknown
4184456	Unknown	Unknown
695142	Unknown	Unknown
3209179	Unknown	Unknown
315626	Unknown	Unknown
2155662	Unknown	Unknown
3516259	Unknown	Unknown
4348272	Unknown	Unknown
6973794	digital	1
9005365	skin	1
389973	Unknown	Unknown
2174449	Unknown	Unknown
260593	Unknown	Unknown
861355	Unknown	Unknown
2189754	Unknown	Unknown
8703459	Unknown	Unknown
7510881	Unknown	Unknown
7513743	Unknown	Unknown
7636596	Unknown	Unknown
5232080	Unknown	Unknown
5605229	Unknown	Unknown
5010932	Unknown	Unknown
1924901	Unknown	Unknown
6671178	Unknown	Unknown
5538753	Unknown	Unknown
5006917	Unknown	Unknown
6748938	Unknown	Unknown
5330485	Unknown	Unknown
9324356	Unknown	Unknown
6083322	Unknown	Unknown
1209121	Unknown	Unknown
2911364	Unknown	Unknown
376254	Unknown	Unknown
459122	Unknown	Unknown
4175095	skin	0
5458460	shoes	0
4425353	shoes	1
1553558	skin	0
8336890	Unknown	Unknown
6446429	Unknown	Unknown
7231269	Unknown	Unknown
7459628	Unknown	Unknown
8724328	Unknown	Unknown
8569775	Unknown	Unknown
7115912	Unknown	Unknown
2719923	Unknown	Unknown
326285	Unknown	Unknown
8953525	Unknown	Unknown
1939831	Unknown	Unknown
1747397	Unknown	Unknown
5766228	Unknown	Unknown
8309058	Unknown	Unknown
526957	Unknown	Unknown
477922	Unknown	Unknown
748683	Unknown	Unknown
9979536	Unknown	Unknown
2836839	Unknown	Unknown
1771363	Unknown	Unknown
3881161	Unknown	Unknown
9722620	Unknown	Unknown
3061462	Unknown	Unknown
9204051	Unknown	Unknown
4384290	Unknown	Unknown
4988008	Unknown	Unknown
1144212	Unknown	Unknown
2822472	Unknown	Unknown
2404138	Unknown	Unknown
7107054	Unknown	Unknown
8097998	Unknown	Unknown
8159248	Unknown	Unknown
9973596	Unknown	Unknown
4816605	Unknown	Unknown
4332545	Unknown	Unknown
6676832	Unknown	Unknown
5555864	Unknown	Unknown
7409372	Unknown	Unknown
6102979	Unknown	Unknown
4968728	Unknown	Unknown
4711673	Unknown	Unknown
7582224	Unknown	Unknown
2913773	Unknown	Unknown
5736956	Unknown	Unknown
1723533	Unknown	Unknown
7515926	Unknown	Unknown
4946005	Unknown	Unknown
5001778	Unknown	Unknown
2818533	Unknown	Unknown
