1	skin01	1	3	1	skin	shoes	0	8999477
0	skin05	1	4	2	skin	shoes	0	8999477
0	skin09	1	5	3	skin	shoes	0	8999477
0	digital01	1	1	2	digital	shoes	0	8999477
0	digital05	1	1	1	digital	shoes	0	8999477
0	shoes01	2	6	1	shoes	shoes	0	8999477
0	shoes07	2	7	2	shoes	shoes	0	8999477
1	shoes04	2	6	1	shoes	shoes	0	8999477
1	shoes10	2	7	2	shoes	shoes	0	8999477
0	digital09	2	2	3	digital	shoes	0	8999477
0	shoes05	1	6	1	shoes	shoes	0	8999477
0	shoes06	1	6	1	shoes	shoes	0	8999477
0	shoes11	1	7	2	shoes	shoes	0	8999477
0	skin02	1	3	1	skin	shoes	0	8999477
0	skin03	1	3	1	skin	shoes	0	8999477
0	skin04	2	3	1	skin	shoes	0	8999477
0	skin01	1	3	1	skin	shoes	1	4809091
0	skin05	1	4	2	skin	shoes	1	4809091
0	skin09	1	5	3	skin	shoes	1	4809091
0	digital01	1	1	2	digital	shoes	1	4809091
0	digital05	1	1	1	digital	shoes	1	4809091
0	shoes01	2	6	1	shoes	shoes	1	4809091
1	shoes07	2	7	2	shoes	shoes	1	4809091
0	shoes04	2	6	1	shoes	shoes	1	4809091
0	shoes10	2	7	2	shoes	shoes	1	4809091
0	digital09	2	2	3	digital	shoes	1	4809091
0	shoes03	1	6	1	shoes	shoes	1	4809091
0	shoes02	1	6	1	shoes	shoes	1	4809091
0	shoes08	1	7	2	shoes	shoes	1	4809091
0	digital02	1	1	2	digital	shoes	1	4809091
0	digital03	1	1	2	digital	shoes	1	4809091
0	digital04	2	1	2	digital	shoes	1	4809091
0	skin01	1	3	1	skin	digital	1	4382146
0	skin05	1	4	2	skin	digital	1	4382146
0	skin09	1	5	3	skin	digital	1	4382146
0	digital01	1	1	2	digital	digital	1	4382146
0	digital05	1	1	1	digital	digital	1	4382146
0	shoes01	2	6	1	shoes	digital	1	4382146
0	shoes07	2	7	2	shoes	digital	1	4382146
0	shoes04	2	6	1	shoes	digital	1	4382146
0	shoes10	2	7	2	shoes	digital	1	4382146
